id1	id2	type
AT2G45920	AT4G01090	PPI
AT4G02590	AT5G15330	PPI
AT2G45070	AT5G22290	PPI
AT2G44080	AT5G22290	PPI
AT3G55240	AT4G30780	PPI
AT2G44080	AT4G35580	PPI
AT1G24764	AT2G32650	PPI
AT1G12310	AT3G19960	PPI
AT2G22240	AT4G39800	PPI
AT3G47620	AT5G60120	PPI
AT2G42260	AT3G08530	PPI
AT1G31240	AT5G13810	PPI
AT3G10260	AT3G59500	PPI
AT1G51580	AT3G55290	PPI
AT2G02560	AT4G08150	PPI
AT1G05410	AT2G32650	PPI
AT4G00370	AT5G22290	PPI
AT5G22290	AT5G43460	PPI
AT3G29770	AT3G53350	PPI
AT2G05630	AT5G06780	PPI
AT1G54170	AT5G16560	PPI
AT1G56090	AT2G39760	PPI
AT1G62990	AT3G48150	PPI
AT3G48150	AT5G16560	PPI
AT3G48150	AT3G52050	PPI
AT1G18660	AT4G32175	PPI
AT4G39753	AT5G42190	PPI
AT3G52050	AT5G58720	PPI
AT1G07310	AT5G16560	PPI
AT4G02840	AT5G44500	PPI
AT1G15750	AT5G60120	PPI
AT2G44080	AT3G29270	PPI
AT4G36290	AT5G11980	PPI
AT1G31880	AT5G60120	PPI
AT2G34460	AT3G13720	PPI
AT1G14920	AT1G53510	PPI
AT4G05420	AT4G22250	PPI
AT1G80840	AT5G22570	PPI
AT1G15710	AT1G66430	PPI
AT1G72370	AT3G53890	PPI
AT2G39100	AT3G48150	PPI
AT3G50060	AT5G53160	PPI
AT1G15720	AT5G54810	PPI
AT4G25680	AT5G07110	PPI
AT2G05630	AT5G24930	PPI
AT2G24020	AT5G09480	PPI
AT1G49850	AT4G29820	PPI
AT1G49850	AT3G08530	PPI
AT3G12720	AT5G57860	PPI
AT1G60080	AT5G59210	PPI
AT2G27940	AT5G40930	PPI
AT4G31130	AT4G35580	PPI
AT4G35580	AT5G56540	PPI
AT2G32380	AT4G35580	PPI
AT4G24310	AT4G35580	PPI
AT1G09660	AT1G49850	PPI
AT1G49850	AT3G25710	PPI
AT4G28830	AT5G63310	PPI
AT1G67170	AT3G47600	PPI
AT1G06510	AT2G42260	PPI
AT1G06510	AT5G02470	PPI
AT1G67170	AT3G13990	PPI
AT3G54826	AT5G22630	PPI
AT2G42260	AT4G24840	PPI
AT2G42260	AT5G61010	PPI
AT3G29034	AT5G22290	PPI
AT4G16780	AT5G06710	PPI
AT1G67170	AT2G28550	PPI
AT3G10480	AT3G54826	PPI
AT1G15750	AT1G17380	PPI
AT2G34750	AT3G12930	PPI
AT3G43590	AT5G51120	PPI
AT1G26660	AT5G18010	PPI
AT1G01620	AT2G37180	PPI
AT3G07780	AT3G15160	PPI
AT3G15160	AT5G02150	PPI
AT2G18740	AT3G59810	PPI
AT5G64780	AT5G65400	PPI
AT1G02690	AT5G17690	PPI
AT1G05410	AT5G65400	PPI
AT2G37150	AT3G52050	PPI
AT1G51355	AT3G61150	PPI
AT2G02990	AT3G10260	PPI
AT1G15750	AT2G22670	PPI
AT2G45920	AT3G09250	PPI
AT1G01910	AT5G05670	PPI
AT1G14920	AT4G00980	PPI
AT5G22290	AT5G24130	PPI
AT1G26660	AT5G18030	PPI
AT3G54826	AT5G10810	PPI
AT3G13175	AT5G22290	PPI
AT3G13175	AT4G35580	PPI
AT1G67860	AT1G67865	PPI
AT2G01530	AT3G12390	PPI
AT2G42870	AT4G02590	PPI
AT1G69850	AT4G35580	PPI
AT2G41350	AT5G25220	PPI
AT1G13520	AT3G51960	PPI
AT5G02150	AT5G63200	PPI
AT3G13720	AT4G25680	PPI
AT1G55190	AT4G25680	PPI
AT2G03870	AT3G59810	PPI
AT1G31880	AT5G10160	PPI
AT1G31880	AT5G23120	PPI
AT2G05630	AT5G45900	PPI
AT3G29270	AT4G24990	PPI
AT1G49850	AT5G61010	PPI
AT1G65000	AT3G52930	PPI
AT3G58170	AT5G22290	PPI
AT1G09330	AT5G22290	PPI
AT1G49850	AT4G08790	PPI
AT2G16850	AT4G35580	PPI
AT1G58070	AT5G13810	PPI
AT2G02410	AT5G37670	PPI
AT3G54826	AT5G51110	PPI
AT2G41350	AT2G42870	PPI
AT3G05935	AT4G22250	PPI
AT2G39760	AT5G06270	PPI
AT2G27580	AT3G61790	PPI
AT3G47675	AT4G02590	PPI
AT1G09840	AT5G22310	PPI
AT1G17860	AT4G19030	PPI
AT4G19030	AT5G61340	PPI
AT1G22920	AT3G59840	PPI
AT1G22920	AT3G20420	PPI
AT4G12080	AT4G25320	PPI
AT2G33410	AT3G21215	PPI
AT1G74910	AT2G04650	PPI
AT3G12720	AT3G28715	PPI
AT3G45640	AT4G26750	PPI
AT1G69690	AT3G45640	PPI
AT3G18380	AT5G09790	PPI
AT2G18876	AT5G10450	PPI
AT3G08530	AT5G65683	PPI
AT5G06780	AT5G65683	PPI
AT1G68060	AT4G17220	PPI
AT2G47060	AT4G13000	PPI
AT4G23570	AT4G37460	PPI
AT1G35210	AT4G00720	PPI
AT3G48040	AT4G36910	PPI
AT2G37150	AT5G60120	PPI
AT1G53510	AT3G54850	PPI
AT3G10260	AT5G01640	PPI
AT3G10480	AT4G36290	PPI
AT3G02090	AT3G09250	PPI
AT3G09250	AT5G60120	PPI
AT2G28550	AT5G60120	PPI
AT3G54220	AT5G56600	PPI
AT3G61060	AT5G37670	PPI
AT1G07400	AT3G61060	PPI
AT1G23900	AT1G53510	PPI
AT5G13810	AT5G56600	PPI
AT4G13500	AT4G35580	PPI
AT4G35580	AT5G11650	PPI
AT1G23850	AT4G35580	PPI
AT1G51355	AT4G33510	PPI
AT1G20140	AT4G39753	PPI
AT3G58500	AT5G16560	PPI
AT1G62990	AT2G16400	PPI
AT4G02590	AT5G45620	PPI
AT2G45660	AT5G47590	PPI
AT1G01140	AT2G34090	PPI
AT4G19030	AT4G35100	PPI
AT1G14340	AT4G30490	PPI
AT1G14340	AT5G27970	PPI
AT1G77710	AT3G55290	PPI
AT2G37040	AT3G10340	PPI
AT1G14920	AT1G22160	PPI
AT5G08650	AT5G51110	PPI
AT1G50430	AT4G35580	PPI
AT1G09100	AT1G45000	PPI
AT1G22160	AT3G29160	PPI
AT1G79750	AT3G07310	PPI
AT1G01010	AT2G02990	PPI
AT1G01010	AT2G33120	PPI
AT2G04030	AT4G23050	PPI
AT3G60820	AT5G11980	PPI
AT3G13520	AT4G35580	PPI
AT3G01180	AT3G49580	PPI
AT4G17785	AT5G45620	PPI
AT3G13222	AT3G18380	PPI
AT2G35240	AT4G14740	PPI
AT3G01180	AT5G28900	PPI
AT1G18400	AT5G16560	PPI
AT4G14455	AT4G19030	PPI
AT2G24693	AT4G19030	PPI
AT4G13500	AT4G19030	PPI
AT3G52050	AT4G10470	PPI
AT3G48550	AT5G17690	PPI
AT1G62990	AT3G24140	PPI
AT5G28050	AT5G38420	PPI
AT3G53180	AT5G07110	PPI
AT3G01340	AT3G16230	PPI
AT1G01240	AT4G38920	PPI
AT1G14340	AT3G53180	PPI
AT3G01180	AT3G47620	PPI
AT2G42790	AT3G18380	PPI
AT3G47620	AT4G02770	PPI
AT3G47620	AT5G63370	PPI
AT4G35580	AT5G44565	PPI
AT5G11650	AT5G22290	PPI
AT5G01075	AT5G22290	PPI
AT1G23850	AT5G22290	PPI
AT3G25882	AT4G16143	PPI
AT4G02840	AT4G20440	PPI
AT3G46060	AT5G22290	PPI
AT1G75020	AT5G22290	PPI
AT3G05210	AT3G27420	PPI
AT3G06540	AT3G07410	PPI
AT1G56090	AT1G69810	PPI
AT1G22920	AT5G65400	PPI
AT1G22920	AT3G25882	PPI
AT3G08530	AT5G25440	PPI
AT4G30490	AT5G22290	PPI
AT1G76520	AT5G22290	PPI
AT5G22290	AT5G41800	PPI
AT1G79910	AT5G61010	PPI
AT3G16200	AT5G22290	PPI
AT5G22290	AT5G44550	PPI
AT5G06780	AT5G06950	PPI
AT3G23050	AT3G47620	PPI
AT2G24550	AT5G51110	PPI
AT1G69690	AT5G48385	PPI
AT2G26770	AT3G07780	PPI
AT2G33390	AT3G47620	PPI
AT3G47620	AT4G36690	PPI
AT2G04630	AT3G47620	PPI
AT1G01140	AT4G28640	PPI
AT1G55490	AT3G22550	PPI
AT1G01140	AT5G58720	PPI
AT2G23070	AT5G58720	PPI
AT1G03900	AT1G09700	PPI
AT3G13720	AT3G50110	PPI
AT3G20620	AT4G05420	PPI
AT2G45000	AT4G24700	PPI
AT1G20640	AT1G64530	PPI
AT3G55240	AT5G14660	PPI
AT1G74500	AT4G24840	PPI
AT1G21810	AT3G29575	PPI
AT3G47620	AT5G63200	PPI
AT1G80000	AT3G47620	PPI
AT1G49850	AT4G01090	PPI
AT1G49850	AT4G24840	PPI
AT1G17190	AT1G78380	PPI
AT1G14950	AT5G57860	PPI
AT1G49850	AT5G06780	PPI
AT3G06540	AT5G60860	PPI
AT1G31350	AT3G06720	PPI
AT1G09330	AT4G30260	PPI
AT3G53610	AT4G35580	PPI
AT2G21380	AT2G42260	PPI
AT3G19460	AT3G29270	PPI
AT1G48240	AT4G35580	PPI
AT2G16850	AT5G22290	PPI
AT5G22290	AT5G22340	PPI
AT2G16850	AT2G45960	PPI
AT3G14080	AT3G59810	PPI
AT3G16120	AT3G54230	PPI
AT2G24500	AT2G37150	PPI
AT2G33120	AT5G41600	PPI
AT2G03120	AT5G41600	PPI
AT2G42790	AT3G56900	PPI
AT3G03000	AT5G65683	PPI
AT4G35580	AT5G24130	PPI
AT1G78300	AT2G18876	PPI
AT1G52695	AT1G69690	PPI
AT1G31350	AT4G02150	PPI
AT5G13810	AT5G30490	PPI
